n,f(n), digit_number
1,1,1
2,1,1
3,2,1
4,3,1
5,5,1
6,8,1
7,13,2
8,21,2
9,34,2
10,55,2
11,89,2
12,144,3
13,233,3
14,377,3
15,610,3
16,987,3
17,1597,4
18,2584,4
19,4181,4
20,6765,4
21,10946,5
22,17711,5
23,28657,5
24,46368,5
25,75025,5
26,121393,6
27,196418,6
28,317811,6
29,514229,6
30,832040,6
31,1346269,7
32,2178309,7
33,3524578,7
34,5702887,7
35,9227465,7
36,14930352,8
37,24157817,8
38,39088169,8
39,63245986,8
40,102334155,9
41,165580141,9
42,267914296,9
43,433494437,9
44,701408733,9
45,1134903170,10
46,1836311903,10
47,2971215073,10
48,4807526976,10
49,7778742049,10
50,12586269025,11
51,20365011074,11
52,32951280099,11
53,53316291173,11
54,86267571272,11
55,139583862445,12
56,225851433717,12
57,365435296162,12
58,591286729879,12
59,956722026041,12
60,1548008755920,13
61,2504730781961,13
62,4052739537881,13
63,6557470319842,13
64,10610209857723,14
65,17167680177565,14
66,27777890035288,14
67,44945570212853,14
68,72723460248141,14
69,117669030460994,15
70,190392490709135,15
71,308061521170129,15
72,498454011879264,15
73,806515533049393,15
74,1304969544928657,16
75,2111485077978050,16
76,3416454622906707,16
77,5527939700884757,16
78,8944394323791464,16
79,14472334024676221,17
80,23416728348467685,17
81,37889062373143906,17
82,61305790721611591,17
83,99194853094755497,17
84,160500643816367088,18
85,259695496911122585,18
86,420196140727489673,18
87,679891637638612258,18
88,1100087778366101931,19
89,1779979416004714189,19
90,2880067194370816120,19
91,4660046610375530309,19
92,7540113804746346429,19
93,12200160415121876738,20
94,19740274219868223167,20
95,31940434634990099905,20
96,51680708854858323072,20
97,83621143489848422977,20
98,135301852344706746049,21
99,218922995834555169026,21
100,354224848179261915075,21
101,573147844013817084101,21
102,927372692193078999176,21
103,1500520536206896083277,22
104,2427893228399975082453,22
105,3928413764606871165730,22
106,6356306993006846248183,22
107,10284720757613717413913,23
108,16641027750620563662096,23
109,26925748508234281076009,23
110,43566776258854844738105,23
111,70492524767089125814114,23
112,114059301025943970552219,24
113,184551825793033096366333,24
114,298611126818977066918552,24
115,483162952612010163284885,24
116,781774079430987230203437,24
117,1264937032042997393488322,25
118,2046711111473984623691759,25
119,3311648143516982017180081,25
120,5358359254990966640871840,25
121,8670007398507948658051921,25
122,14028366653498915298923761,26
123,22698374052006863956975682,26
124,36726740705505779255899443,26
125,59425114757512643212875125,26
126,96151855463018422468774568,26
127,155576970220531065681649693,27
128,251728825683549488150424261,27
129,407305795904080553832073954,27
130,659034621587630041982498215,27
131,1066340417491710595814572169,28
132,1725375039079340637797070384,28
133,2791715456571051233611642553,28
134,4517090495650391871408712937,28
135,7308805952221443105020355490,28
136,11825896447871834976429068427,29
137,19134702400093278081449423917,29
138,30960598847965113057878492344,29
139,50095301248058391139327916261,29
140,81055900096023504197206408605,29
141,131151201344081895336534324866,30
142,212207101440105399533740733471,30
143,343358302784187294870275058337,30
144,555565404224292694404015791808,30
145,898923707008479989274290850145,30
146,1454489111232772683678306641953,31
147,2353412818241252672952597492098,31
148,3807901929474025356630904134051,31
149,6161314747715278029583501626149,31
150,9969216677189303386214405760200,31
151,16130531424904581415797907386349,32
152,26099748102093884802012313146549,32
153,42230279526998466217810220532898,32
154,68330027629092351019822533679447,32
155,110560307156090817237632754212345,33
156,178890334785183168257455287891792,33
157,289450641941273985495088042104137,33
158,468340976726457153752543329995929,33
159,757791618667731139247631372100066,33
160,1226132595394188293000174702095995,34
161,1983924214061919432247806074196061,34
162,3210056809456107725247980776292056,34
163,5193981023518027157495786850488117,34
164,8404037832974134882743767626780173,34
165,13598018856492162040239554477268290,35
166,22002056689466296922983322104048463,35
167,35600075545958458963222876581316753,35
168,57602132235424755886206198685365216,35
169,93202207781383214849429075266681969,35
170,150804340016807970735635273952047185,36
171,244006547798191185585064349218729154,36
172,394810887814999156320699623170776339,36
173,638817435613190341905763972389505493,36
174,1033628323428189498226463595560281832,37
175,1672445759041379840132227567949787325,37
176,2706074082469569338358691163510069157,37
177,4378519841510949178490918731459856482,37
